Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK
Sportschieten,Schietvereniging Nieuw-West,www.schietvereniging-nieuwwest.nl,,Jan Rebelstraat 15 ,1069CA,Amsterdam,Nieuw-West,,
Sportschieten,SSV Colt45,www.colt45.nl,,Papaverweg 15,1032KE,Amsterdam,Noord,,40530634
Sportschieten,Target,www.svtarget.nl,,Julianaplein 1,1097DN,Amsterdam,Oost,,40533802
Sportschool,Akademia Training Club,www.akademiatraining.nl,Akademia Training Club,Javaplein 14,1094HW,Amsterdam,Oost,,50476270
Sportschool,All Sports,www.healthcity.nl/sportscholen/grand-cafe-all-sports,All Sports,Van der Hooplaan 237,1185LN,Amstelveen,Buiten Amsterdam,,
Sportschool,Turning Spirit,,ALO,Dokter Meurerlaan 8,1067SM,Amsterdam,Nieuw-West,,
Sportschool,American Fitness,www.americanfitness.nl,American Fitness,Blasiusstraat 144,1091CZ,Amsterdam,Oost,,33176009
Sportschool,Sportcentrum Amstelcampus (USC),www.usc.uva.nl,Amstelcampus,Tweede Boerhaavestraat 10,1091AN,Amsterdam,Oost,,
Sportschool,Amsterdam Buitenveldert Sportclub,www.amsterdambuitenveldertsportclub.nl,Amsterdam Buitenveldert Sportclub,Noordhollandstraat 59A,1081AS,Amsterdam,Zuid,,65380746
Sportschool,Apollo Health en Fitness,www.apollohealth.nl,Apollohal,Apollolaan 4,1077BA,Amsterdam,Zuid,,
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Amstelstraat 22,1017DA,Amsterdam,Centrum,,37092459
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Arent Janszoon Ernststr 1,1083GP,Amsterdam,Zuid,,37092459
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Distelweg 80,1031HH,Amsterdam,Noord,,37092459
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Europaboulevard 21,1079PC,Amsterdam,Zuid,,37092459
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Koningin Wilhelminaplein 13,1062HH,Amsterdam,Nieuw-West,,37092459
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Rijnsburgstraat 9-11,1059AT,Amsterdam,Zuid,,37092459
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Stadhouderskade 74-75,1072AE,Amsterdam,West,,37092459
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam Overtoom Ladies,Overtoom 37-43,1054HB,Amsterdam,West,,37092459
Sportschool,Keluarga Silat Perisai Diri Ned.,www.perisaidiri.nl,Basisschool de Kaap,Christiaan de Wetstraat 23 ,1091NG,Amsterdam,Zuidoost,,40534240
Sportschool,De Bonte Kraai,www.buurthuizenzuidoost.nl,Buurthuis De Bonte Kraaij,Kraaiennest 68,1104CD,Amsterdam,Zuidoost,,
Sportschool,Club West (USC),www.usc.uva.nl,Club West,Dokter Meurerlaan 10,1067SM,Amsterdam,Nieuw-West,,
Sportschool,Duofit,www.duofit.nl,Duofit,Radioweg 64,1098NJ,Amsterdam,Oost,,34360033
Sportschool,Fitness Gym IJburg,fitnessgymijburg.nl,Fitness Gym IJburg,Daguerrestraat 167,1087DJ,Amsterdam,Oost,,
Sportschool,Fitness Studio Onna,www.fitnessonna.nl,Fitness Studio Onna,Remijden 2,1068XB,Amsterdam,Nieuw-West,,
Sportschool,Fitness Zuidas,www.fitness-zuidas.nl,Fitness Zuidas,Wijenburg 90A,1082VW,Amsterdam,Zuid,,
Sportschool,Vitae Sport,www.vitaesport.nl,Fons Vitae Lyceum,Reinier Vinkeleskade 53,1071SW,Amsterdam,Zuid,,59551445
Sportschool,Fysiomed,www.fysiomed.org,Fysiomed,IJsbaanpad 6,1076CV,Amsterdam,Zuid,,34302500
Sportschool,Pro-Fit Amsterdam Oost,www.profit-amsterdamoost.nl,Fysiotherapie Amsterdam Oost,Willem Beukelsstraat 151B,1097CR,Amsterdam,Oost,,34370162
Sportschool,"Sportschool HWS, dependance A'dam West",www.sportschoolhsw.nl/krav-maga/amsterdam-West,Gymzaal Bos en Lommerschool ,Flierefluiterpad 15,1061NK,Amsterdam,West,,
Sportschool,Life & Kicking,www.lifeandkicking.nl,Life & Kicking Fitness,Eva Besnyöstraat 29,1087KR,Amsterdam,Oost,,34259356
Sportschool,Mirror Centre,www.mirrorcentre.nl,Mirror Centre,Ter Gouwstraat 3,1093JX,Amsterdam,Oost,,34200290
Sportschool,Mobilis Fitness,www.mobilisfitness.nl,Mobilis Fitness,Van Leijenberghlaan 10,1082GM,Amsterdam,Zuid,,34250964
Sportschool,Motion3,www.motion3.nl,Motion3,IJburglaan 473,1087BE,Amsterdam,Oost,,
Sportschool,Only 4 Ladies,www.only4ladies.nl,Only4Ladies,Tweede Oosterparkstraat 79A,1091HX,Amsterdam,Oost,,34110592
Sportschool,Panatta-Gym,www.panatta-gym.nl,Panatta-Gym,Oudeschans 30,1011LB,Amsterdam,,,33212191
Sportschool,PCH Fitness (USC),www.usc.uva.nl,PCH Fitness,Spuistraat 134,1012VB,Amsterdam,Centrum,,
Sportschool,Personal Health Club,www.personalhealthclub.nl,Personal Health Club Amsterdam,Breitnerstraat 4,1077BL,Amsterdam,Zuid,,33292829
Sportschool,Selin Health and Fitness,www.selinhealthandfitness.nl,Personal Training Studio,Krelis Louwenstraat 1C02,1055KA,Amsterdam,,,
Sportschool,The Gym,www.thegym.amsterdam,Personal Training Studio,Ruysdaelkade 161,1072AS,Amsterdam,Zuid,,
Sportschool,Reebok Crossfit 020,www.reebokcrossfit020.nl,Reebok Crossfit 020,Hoogoorddreef 3,1101BA,Amsterdam,Zuidoost,,
Sportschool,Sho Shin Aikido dojo,,Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072RD,Amsterdam,Zuid,,
Sportschool,Body Fit,www.sportcentrumkops.nl,Sportcentrum Kops,Weesperzijde 115,1091EN,Amsterdam,Oost,,40535111
Sportschool,SportCity Weteringdwarsstraat,www.sportcity.nl,SportCity Wetering,Eerste Weteringdwarsstraat 3,1017TL,Amsterdam,Centrum,,
Sportschool,Sports World Amsterdam,www.sportsworldamsterdam.nl,Sports World Amsterdam,Oranje Vrijstaatkade 21,1093KS,Amsterdam,Oost,,
Sportschool,Brightside,www.brightsidefitness.nl,Sportschool,Baarsjesweg 289 hs,1058AG,Amsterdam,West,,
Sportschool,Crossfit Aka,www.crossfitaka.nl,Sportschool,Piri Reisplein 1,1057KH,Amsterdam,West,,34394223
Sportschool,Crossfit Aka,www.crossfitaka.nl,Sportschool,Willem de Zwijgerlaan 350b,1055RD,Amsterdam,West,,34394223
Sportschool,Crossfit Flames,www.crossfitflames.nl,Sportschool,Van Marwijk Kooystraat 4,1096BR,Duivendracht,Buiten Amsterdam,,
Sportschool,David Lloyd,www.davidlloyd.nl,Sportschool,Overtoom 557,1054LK,Amsterdam,West,,17111830
Sportschool,Dutch Strength,www.dutchstrength.nl,Sportschool,Hobbemakade 7,1071XK,Amsterdam,Zuid,,33261543
Sportschool,Ettaki Gym,www.ettakigym.nl,Sportschool,Bilderdijkkade 59-61,1053VJ,Amsterdam,West,,55971148
Sportschool,Femme Gym,www.femmegym.nl,Sportschool,Vancouverstraat 6,1056DV,Amsterdam,West,,63067218
Sportschool,Fit aan 't IJ,www.fitaantij.nl,Sportschool,KNSM-laan 11,1019 LA,Amsterdam,,,
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Buikslotermeerplein 119,1025ET,Amsterdam,Noord,,51328585
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Europaboulevard 3,1079PC,Amsterdam,Zuid,,51328585
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Haarlemmer Houttuinen 37-43,1013GM,Amsterdam,Centrum,,51328585
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Hoogoordplein 7,1101DT,Amsterdam,Zuidoost,,51328585
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Lijnbaansgracht 350,1017XB,Amsterdam,Centrum,,51328585
